unnamed:0,url,date,content,id,user,replycount,retweetcount,likecount,quotecount,conversationid,lang,source,coordinates
0,https://twitter.com/WayneRooney/status/1620676575825129472,2023-02-01 06:53:01+00:00,@speedomick Amazing. Keep going Mick 💪,1620676575825129472,https://twitter.com/WayneRooney,7,7,643,0,1620486823196905473,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
1,https://twitter.com/WayneRooney/status/1620138137577201665,2023-01-30 19:13:27+00:00,@McIlroyRory Class mate 👏👏👏,1620138137577201665,https://twitter.com/WayneRooney,5,5,416,0,1620091905769103360,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2,https://twitter.com/WayneRooney/status/1618343680213135362,2023-01-25 20:22:55+00:00,@CH14_ Great to see you mate. Special memories 🤝,1618343680213135362,https://twitter.com/WayneRooney,9,25,1315,1,1618022837889150976,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
3,https://twitter.com/WayneRooney/status/1618342276706729986,2023-01-25 20:17:20+00:00,Great start to pre-season. Lads have adapted themselves well and lots of positives to build on. Looking forward to the upcoming games. ⚫️🔴 @dcunited https://t.co/HBl4hE99RY,1618342276706729986,https://twitter.com/WayneRooney,20,84,2792,1,1618342276706729986,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
4,https://twitter.com/WayneRooney/status/1612944579094843394,2023-01-10 22:48:49+00:00,@MarcusRashford Class @MarcusRashford. Let’s keep it going….👏👏👏,1612944579094843394,https://twitter.com/WayneRooney,196,1809,36533,86,1612941053606125568,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
5,https://twitter.com/WayneRooney/status/1609630450607079424,2023-01-01 19:19:39+00:00,All the best for 2023 everyone. 🙌🎉 #HappyNewYear https://t.co/K0Wz1Nh66r,1609630450607079424,https://twitter.com/WayneRooney,305,944,34651,65,1609630450607079424,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
6,https://twitter.com/WayneRooney/status/1608550164108836865,2022-12-29 19:46:59+00:00,Rest in peace Legend. 🙏🏼 https://t.co/CvqQI1bvd2,1608550164108836865,https://twitter.com/WayneRooney,165,4782,107169,82,1608550164108836865,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
7,https://twitter.com/WayneRooney/status/1605278078774792203,2022-12-20 19:04:53+00:00,"Happy to help 😉

🗓 Our 2023 @MLS Schedule is here! 🦅

#DCU || #VamosUnited https://t.co/eJN4xN9dlH",1605278078774792203,https://twitter.com/WayneRooney,20,61,536,16,1605278078774792203,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
8,https://twitter.com/WayneRooney/status/1604575372271669248,2022-12-18 20:32:34+00:00,"What a game. For me the the best ever #WorldCupFinal. Great effort from France but congratulations goes to Argentina, a proper team effort. @FIFAWorldCup #Qatar22",1604575372271669248,https://twitter.com/WayneRooney,107,1131,13711,11,1604575372271669248,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
9,https://twitter.com/WayneRooney/status/1603072533804486657,2022-12-14 17:00:50+00:00,@dcunited @ovi8 @Capitals Congratulations @ovi8. Amazing milestone and hopefully many more to come. 👏👏👏,1603072533804486657,https://twitter.com/WayneRooney,10,5,204,0,1603039897916694529,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
