unnamed:0,url,date,content,user,replycount,retweetcount,likecount,quotecount,id,lang,source,coordinates,dashes
0,https://twitter.com/KAKA/status/1325803203024334848,2020-11-09 14:11:30+00:00,@igor_fred @JoeBiden Eu moro no Brasil. rsrsrsrs Apoio e oração sao duas coisas diferentes!,https://twitter.com/KAKA,4,0.0,62.0,0.0,1.3258018342216212e+18,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,------------------------
1,https://twitter.com/KAKA/status/1325802654048653312,2020-11-09 14:11:30+00:00,@igor_fred @JoeBiden Eu moro no Brasil. rsrsrsrs Apoio e oração sao duas coisas diferentes!,https://twitter.com/KAKA,4,0.0,62.0,0.0,1.3258018342216212e+18,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,
2,https://twitter.com/KAKA/status/1325801834221621250,2020-11-09 14:06:04+00:00,"Não, não se preocupe que esse conteúdo não é para empurrar um candidato. E sim pra tentarmos fazer uma escolha consciente. Como voces escolhem o candidato pra votar?",https://twitter.com/KAKA,44,14.0,704.0,3.0,1.3258018342216212e+18,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,
3,https://twitter.com/KAKA/status/1322605637281456130,2020-10-31 18:25:31+00:00,Which one is your favorite?,https://twitter.com/KAKA,93,61.0,1992.0,46.0,1.3258018342216212e+18,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,
4,https://twitter.com/KAKA/status/1320031385319591938,2020-10-24 15:56:21+00:00,Vamosssss 🚀🚀🚀 #HalaMadrid #ElClasico,https://twitter.com/KAKA,667,1497.0,24152.0,356.0,1.322605637281456e+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
5,https://twitter.com/KAKA/status/1320022412453466117,2020-10-24 15:20:42+00:00,👀 #VAR,https://twitter.com/KAKA,99,3191.0,32051.0,308.0,1.320031385319592e+18,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
6,https://twitter.com/KAKA/status/1320018579731980288,2020-10-24 15:05:28+00:00,Tão gostando do jogo? #ElClasico,https://twitter.com/KAKA,102,55.0,2670.0,51.0,1.320022412453466e+18,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
7,https://twitter.com/KAKA/status/1319999424538476546,2020-10-24 13:49:21+00:00,#ElClasico,https://twitter.com/KAKA,65,72.0,699.0,17.0,1.3200185797319803e+18,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
8,https://twitter.com/KAKA/status/1319998656729272320,2020-10-24 13:46:18+00:00,#HalaMadrid,https://twitter.com/KAKA,235,1925.0,15665.0,318.0,1.3199994245384763e+18,qht,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
9,https://twitter.com/KAKA/status/1319994966895198211,2020-10-24 13:31:39+00:00,Hoje é dia de Clássico!!,https://twitter.com/KAKA,100,42.0,1551.0,12.0,1.3199986567292723e+18,qht,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
10,https://twitter.com/KAKA/status/1319617912429285379,2020-10-23 12:33:22+00:00,O trono das quatro linhas foi conquistado por aclamação! Não é possível mensurar o impacto de quanto você influenciou gerações e continua encantando pessoas com a sua história. Feliz aniversário @Pele e que Deus te abençoe. O futebol tem um rei e quanto orgulho dele ser 🇧🇷#Pele80 https://t.co/C2ctxpn4lv,https://twitter.com/KAKA,47,217.0,3490.0,21.0,1.3196179124292854e+18,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,
