date,user,content,likecount,id,replycount,retweetcount,quotecount,conversationid,lang,source,coordinates
2023-01-30 23:49:34+00:00,https://twitter.com/stuholden,Australia and New Zealand is going to be a vibe this summer. Can’t wait,282,1620207623600771072,6,12,0,1620207623600771072,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-30 17:04:40+00:00,https://twitter.com/stuholden,Woah #USMNT,533,1620105727703678976,33,10,1,1620105727703678976,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-29 16:58:06+00:00,https://twitter.com/stuholden,@herbietaylor73 I think Vazquez can push for minutes now. Zendejas wouldn’t get in line up over Pulisic/Weah/Aaronson yet imo- but I liked what I saw towards end of Serbia match,1,1619741687055810561,0,0,0,1619731263837044736,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-29 02:29:24+00:00,https://twitter.com/stuholden,@AlexiLalas 90:10 Colombia,39,1619523073031692288,5,0,0,1619521454655307777,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-29 02:22:58+00:00,https://twitter.com/stuholden,Jan camp #USMNT under the lights. https://t.co/GSamDJeQT4,207,1619521454655307777,12,5,1,1619521454655307777,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-28 16:57:36+00:00,https://twitter.com/stuholden,"Confirmed, I’m a Harry Styles fan now. It was sealed when he perfectly 1st time volleyed a stuffed animal back into the crowd. Great show and performer https://t.co/aWmqWfunbt",209,1619379175160446976,1,46,0,1619188812177104896,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-28 04:21:10+00:00,https://twitter.com/stuholden,Heading to Harry Styles concert… no idea what to expect. Here for the ride @KaralynWest,125,1619188812177104896,19,10,0,1619188812177104896,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-27 20:35:27+00:00,https://twitter.com/stuholden,"@ThoughtMarker Ha, he actually said to us in Qatar how his teammates sometimes give him crap about it looking out of control but being in control.",207,1619071608681037824,1,0,0,1619071108682248192,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-27 20:33:27+00:00,https://twitter.com/stuholden,"A year ago Matt Turner dumps this out for a throw.

Now: 😎😎 #USMNT https://t.co/5gjwVkzTYn",2451,1619071108682248192,76,61,18,1619071108682248192,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
2023-01-27 15:45:58+00:00,https://twitter.com/stuholden,🔥,70,1618998760746647553,5,3,0,1618998760746647553,art,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
